platform,status,area,key,english,indonesian,files
"web","keyed","web:automation","automation.customConditionContactAttribute","Custom condition (contact attribute)","Kondisi khusus (atribut kontak)","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","common.delete","Delete","","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.equals","Equals","Sama dengan","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.fileTypeMatches","File type matches","Jenis berkas cocok","app/(app)/automation/[id]/flow/page.tsx"
"web","new","web:automation","automation.flowSaved","Flow saved","Flow tersimpan","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","dashboard.interestHot","Hot","Hot","app/(app)/automation/[id]/flow/page.tsx;app/(app)/contacts/page.tsx;app/(app)/dashboard/DashboardView.tsx;app/(app)/inbox/components/ConversationList.tsx;app/(app)/inbox/components/InterestMenu.tsx;components/inbox/ChatSidebar.tsx"
"web","keyed","web:automation","automation.isNotSet","is not set","tidak diisi","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.isNotSet2","Is not set","Tidak diisi","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.isSet","is set","diisi","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.isSet2","Is set","Diisi","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.listButtonCallbackIdMatches","List / Button callback ID matches","Callback ID List / Tombol cocok","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.listMenu","List menu","Menu daftar","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.markBlacklisted","Mark blacklisted","Tandai daftar hitam","app/(app)/automation/[id]/flow/page.tsx;lib/automationMeta.ts"
"web","keyed","web:automation","automation.messageTextExactlyMatchesAny","Message text exactly matches any of keywords","Teks pesan sama persis dengan salah satu kata kunci","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.messageTextExcludesAnyOf","Message text excludes any of keywords","Teks pesan tidak mengandung kata kunci mana pun","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.messageTextIncludesAnyOf","Message text includes any of keywords","Teks pesan mengandung salah satu kata kunci","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.messageTextMatchesRegex","Message text matches regex","Teks pesan cocok dengan regex","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.messageType","Message type","Jenis pesan","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.newCatalogOrderReceived","New catalog order received","Pesanan katalog baru diterima","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.noneTextImageOnly","None (text / image only)","Tidak ada (hanya teks / gambar)","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.notEquals","not equals","tidak sama dengan","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.notEquals2","Not equals","Tidak sama dengan","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.receivedInAnIndividualChat","Received in an individual chat","Diterima di chat pribadi","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.receivedInsideBusinessHours","Received inside business hours","Diterima dalam jam kerja","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.receivedOutsideBusinessHours","Received outside business hours","Diterima di luar jam kerja","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.removeFromCampaign","Remove from campaign","Hapus dari kampanye","app/(app)/automation/[id]/flow/page.tsx;lib/automationMeta.ts"
"web","keyed","web:automation","automation.removeTag","Remove tag","Hapus tag","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.replyButtons","Reply buttons","Tombol balasan","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.requestLocation","Request location","Minta lokasi","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.sendAutoReply","Send auto reply","Kirim balasan otomatis","app/(app)/automation/[id]/flow/page.tsx;lib/automationMeta.ts"
"web","keyed","web:automation","automation.sendEmailNotification","Send email notification","Kirim notifikasi email","app/(app)/automation/[id]/flow/page.tsx;lib/automationMeta.ts"
"web","keyed","web:automation","automation.sendTemplate","Send template","Kirim template","app/(app)/automation/[id]/flow/page.tsx;lib/automationMeta.ts"
"web","keyed","web:automation","automation.sendWhatsappForm","Send WhatsApp Form","Kirim WhatsApp Form","app/(app)/automation/[id]/flow/page.tsx;lib/automationMeta.ts"
"web","keyed","web:automation","automation.setContactAttribute","Set contact attribute","Atur atribut kontak","app/(app)/automation/[id]/flow/page.tsx;lib/automationMeta.ts"
"web","keyed","web:automation","automation.setConversationStatus","Set conversation status","Atur status percakapan","app/(app)/automation/[id]/flow/page.tsx;lib/automationMeta.ts"
"web","keyed","web:automation","automation.setInterestLevel","Set interest level","Atur tingkat minat","app/(app)/automation/[id]/flow/page.tsx;lib/automationMeta.ts"
"web","keyed","web:automation","automation.setPriority","Set priority","Atur prioritas","app/(app)/automation/[id]/flow/page.tsx;lib/automationMeta.ts"
"web","keyed","web:automation","automation.setStage","Set stage","Atur tahap","app/(app)/automation/[id]/flow/page.tsx;lib/automationMeta.ts"
"web","keyed","web:automation","automation.shift","Shift","Shift","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.startsWithAKeyword","Starts with a keyword","Diawali dengan kata kunci","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.templateMessage","Template message","Pesan template","app/(app)/automation/[id]/flow/page.tsx"
"web","new","web:automation","automation.theTriggerCanTBe","The trigger can't be deleted","Pemicu tidak bisa dihapus","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.trigger2","Trigger","Pemicu","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.unassignFromTeam","Unassign from team","Batalkan penugasan dari tim","app/(app)/automation/[id]/flow/page.tsx;lib/automationMeta.ts"
"web","keyed","web:automation","automation.veryFirstMessageOrAfter","Very first message (or after 24h)","Pesan pertama (atau setelah 24 jam)","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","dashboard.interestWarm","Warm","Warm","app/(app)/automation/[id]/flow/page.tsx;app/(app)/contacts/page.tsx;app/(app)/dashboard/DashboardView.tsx;app/(app)/inbox/components/ConversationList.tsx;app/(app)/inbox/components/InterestMenu.tsx;components/inbox/ChatSidebar.tsx"
"web","keyed","web:automation","automation.webhook","Webhook","Webhook","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:automation","automation.whatsappFlowButton","WhatsApp Flow button","Tombol WhatsApp Flow","app/(app)/automation/[id]/flow/page.tsx"
"web","keyed","web:broadcasts","broadcasts.all","All","Semua","app/(app)/broadcasts/[id]/page.tsx"
"web","keyed","web:broadcasts","broadcasts.audience","Audience","Audiens","app/(app)/broadcasts/page.tsx;app/(app)/broadcasts/[id]/page.tsx"
"web","keyed","web:broadcasts","broadcasts.broadcast","Broadcast","Broadcast","app/(app)/broadcasts/page.tsx"
"web","keyed","web:broadcasts","settings.campaignName","Campaign name","Nama kampanye","app/(app)/broadcasts/[id]/page.tsx"
"web","keyed","web:broadcasts","components.channel","Channel","Saluran","app/(app)/broadcasts/page.tsx;app/(app)/contacts/page.tsx;app/(app)/dashboard/DashboardView.tsx;app/(app)/inbox/components/ConversationList.tsx;app/(app)/settings/campaigns/page.tsx;components/Shell.tsx"
"web","keyed","web:broadcasts","broadcasts.channelSentBy","Channel (sent by)","Saluran (pengirim)","app/(app)/broadcasts/[id]/page.tsx"
"web","keyed","web:broadcasts","broadcasts.clicked","Clicked","Diklik","app/(app)/broadcasts/[id]/page.tsx"
"web","keyed","web:broadcasts","contacts.created","Created","Dibuat","app/(app)/broadcasts/page.tsx;app/(app)/broadcasts/[id]/page.tsx;app/(app)/contacts/page.tsx;app/(app)/settings/audit/page.tsx;app/(app)/settings/campaigns/page.tsx;app/(app)/settings/custom-fields/page.tsx;app/(app)/settings/organization/page.tsx;app/(app)/settings/quick-replies/page.tsx;app/(app)/settings/user-management/page.tsx"
"web","keyed","web:broadcasts","broadcasts.createdBy","Created by","Dibuat oleh","app/(app)/broadcasts/[id]/page.tsx"
"web","keyed","web:broadcasts","inbox.customer","Customer","Pelanggan","app/(app)/broadcasts/[id]/page.tsx"
"web","keyed","web:broadcasts","broadcasts.deleteBroadcast","Delete broadcast?","Hapus broadcast?","app/(app)/broadcasts/page.tsx;app/(app)/broadcasts/[id]/page.tsx"
"web","keyed","web:broadcasts","broadcasts.delivered","Delivered","Terkirim","app/(app)/broadcasts/[id]/page.tsx"
"web","keyed","web:broadcasts","broadcasts.delivery","Delivery","Pengiriman","app/(app)/broadcasts/page.tsx"
"web","keyed","web:broadcasts","broadcasts.failed","Failed","Gagal","app/(app)/broadcasts/[id]/page.tsx;app/(app)/settings/audit/page.tsx;app/(app)/settings/channels/AdsAnalytics.tsx;app/(app)/settings/channels/AdvertisingTab.tsx"
"web","keyed","web:broadcasts","automation.message","Message","Pesan","app/(app)/broadcasts/page.tsx;app/(app)/settings/quick-replies/page.tsx"
"web","keyed","web:broadcasts","inbox.name","Name","Nama","app/(app)/broadcasts/page.tsx;app/(app)/contacts/page.tsx;app/(app)/dashboard/DashboardView.tsx;app/(app)/inbox/components/ConversationList.tsx;app/(app)/settings/channels/WebApiTab.tsx;app/(app)/settings/templates/page.tsx"
"web","keyed","web:broadcasts","broadcasts.noValidPhoneNumbersFound","No valid phone numbers found.","Tidak ada nomor telepon valid ditemukan.","app/(app)/broadcasts/page.tsx"
"web","keyed","web:broadcasts","settings.number","Number","Angka","app/(app)/broadcasts/[id]/page.tsx;app/(app)/settings/custom-fields/page.tsx"
"web","keyed","web:broadcasts","broadcasts.pending","Pending","Menunggu","app/(app)/broadcasts/[id]/page.tsx"
"web","keyed","web:broadcasts","broadcasts.read","Read","Dibaca","app/(app)/broadcasts/[id]/page.tsx"
"web","keyed","web:broadcasts","broadcasts.readStatus","Read status","Status dibaca","app/(app)/broadcasts/[id]/page.tsx"
"web","keyed","web:broadcasts","broadcasts.responded","Responded","Ditangani","app/(app)/broadcasts/[id]/page.tsx"
"web","keyed","web:broadcasts","broadcasts.responses","Responses","Respons","app/(app)/broadcasts/[id]/page.tsx"
"web","keyed","web:broadcasts","broadcasts.review","Review","Tinjau","app/(app)/broadcasts/page.tsx;app/(app)/settings/campaigns/CampaignWizard.tsx"
"web","keyed","web:broadcasts","broadcasts.sendBroadcastNow","Send broadcast now?","Kirim broadcast sekarang?","app/(app)/broadcasts/page.tsx"
"web","keyed","web:broadcasts","broadcasts.sendStatus","Send status","Status pengiriman","app/(app)/broadcasts/[id]/page.tsx"
"web","keyed","web:broadcasts","broadcasts.sent","Sent","Terkirim","app/(app)/broadcasts/[id]/page.tsx"
"web","keyed","web:broadcasts","automation.status","Status","Status","app/(app)/broadcasts/page.tsx;app/(app)/broadcasts/[id]/page.tsx;app/(app)/inbox/components/ConversationList.tsx;app/(app)/settings/audit/page.tsx;app/(app)/settings/campaigns/page.tsx;app/(app)/settings/organization/page.tsx;app/(app)/settings/templates/page.tsx;app/(app)/settings/user-management/page.tsx"
"web","keyed","web:broadcasts","broadcasts.template","Template","Template","app/(app)/broadcasts/page.tsx;app/(app)/broadcasts/[id]/page.tsx"
"web","keyed","web:broadcasts","broadcasts.totalContacts","Total contacts","Total kontak","app/(app)/broadcasts/[id]/page.tsx"
"web","keyed","web:broadcasts","settings.type","Type","Jenis","app/(app)/broadcasts/page.tsx;app/(app)/broadcasts/[id]/page.tsx;app/(app)/settings/custom-fields/page.tsx"
"web","keyed","web:components","components.adClickCtwaReferral","Ad click / CTWA referral","Klik iklan / referral CTWA","lib/automationMeta.ts"
"web","keyed","web:components","settings.ads","Ad Performance","Performa Iklan","components/Shell.tsx"
"web","keyed","web:components","contacts.addLabel","Add label","Tambah label","app/(app)/contacts/page.tsx;lib/automationMeta.ts"
"web","keyed","web:components","components.adsAnalytics","Ads & Analytics","Iklan & Analitik","components/Shell.tsx"
"web","keyed","web:components","components.afterHours","After hours","Di luar jam kerja","lib/automationMeta.ts"
"web","keyed","web:components","common.allTime","All time","Semua waktu","components/DateRangeFilter.tsx"
"web","keyed","web:components","components.appendContactDataAsA","Append contact data as a new sheet row","Tambahkan data kontak sebagai baris baru di sheet","lib/automationMeta.ts"
"web","keyed","web:components","components.apr","Apr","Apr","app/(app)/dashboard/DashboardView.tsx;app/report/ads/AdsReportView.tsx;lib/utils.ts"
"web","keyed","web:components","components.attachOneOrMoreLabels","Attach one or more labels","Pasang satu atau beberapa label","lib/automationMeta.ts"
"web","keyed","web:components","components.aug","Aug","Agu","app/(app)/dashboard/DashboardView.tsx;app/report/ads/AdsReportView.tsx;lib/utils.ts"
"web","keyed","web:components","components.automation","Automation","Otomasi","app/(app)/settings/roles/page.tsx;components/Shell.tsx"
"web","keyed","web:components","components.blockTheContactFromOutreach","Block the contact from outreach","Blokir kontak dari penjangkauan","lib/automationMeta.ts"
"web","keyed","web:components","nav.broadcasts","Broadcasts","Broadcast","app/(app)/settings/roles/page.tsx;components/CommandPalette.tsx;components/Shell.tsx"
"web","keyed","web:components","components.budget","Budget","Anggaran","lib/segments.ts"
"web","keyed","web:components","automation.buttonClick","Button click","Klik tombol","lib/automationMeta.ts"
"web","keyed","web:components","components.campaignPerformance","Campaign Performance","Performa Kampanye","app/(app)/dashboard/DashboardView.tsx;components/Shell.tsx"
"web","keyed","web:components","settings.campaigns","Campaigns","","app/(app)/settings/organization/page.tsx;app/(app)/settings/user-management/page.tsx;components/Shell.tsx"
"web","keyed","web:components","settings.channels","Channels","","components/Shell.tsx"
"web","keyed","web:components","contacts.chat","Chat","Obrolan","components/Shell.tsx"
"web","keyed","web:components","components.clearTheAssignedAgent","Clear the assigned agent","Hapus agen yang ditugaskan","lib/automationMeta.ts"
"web","keyed","web:components","components.clearTheConversationSCampaign","Clear the conversation's campaign","Hapus kampanye dari percakapan","lib/automationMeta.ts"
"web","keyed","web:components","components.closeDialog","Close dialog","Tutup dialog","components/KeyboardHelp.tsx"
"web","keyed","web:components","components.commandPalette","Command palette","Palet perintah","components/KeyboardHelp.tsx"
"web","keyed","web:components","components.commentReceivedOnAPost","Comment received on a post","Komentar diterima di sebuah post","lib/automationMeta.ts"
"web","keyed","web:components","settings.company_details","Company Details","","components/Shell.tsx"
"web","keyed","web:components","components.connectALineOfficialAccount","Connect a LINE Official Account to message customers on LINE.","Hubungkan LINE Official Account untuk mengirim pesan ke pelanggan di LINE.","components/ChannelIcon.tsx"
"web","keyed","web:components","components.connectATelegramBotTo","Connect a Telegram bot to chat with customers on Telegram.","Hubungkan bot Telegram untuk mengobrol dengan pelanggan di Telegram.","components/ChannelIcon.tsx"
"web","keyed","web:components","components.connectAViberPublicAccount","Connect a Viber Public Account with its auth token to receive and reply to Viber messages in the shared inbox.","Hubungkan Viber Public Account dengan token autentikasinya untuk menerima dan membalas pesan Viber di kotak masuk bersama.","components/ChannelIcon.tsx"
"web","keyed","web:components","components.connectAWhatsappBusinessNumber","Connect a WhatsApp Business number via the Meta Cloud API to send and receive messages, run broadcasts, and use templates.","Hubungkan nomor WhatsApp Business via Meta Cloud API untuk mengirim dan menerima pesan, menjalankan broadcast, dan memakai template.","components/ChannelIcon.tsx"
"web","keyed","web:components","components.contactLabelAdded","Contact label added","Label kontak ditambahkan","lib/automationMeta.ts"
"web","keyed","web:components","eventGroup.g4","Contacts","Kontak","app/(app)/settings/roles/page.tsx;components/CommandPalette.tsx;components/Shell.tsx"
"web","keyed","web:components","components.conversationClosed","Conversation closed","Percakapan ditutup","lib/automationMeta.ts"
"web","keyed","web:components","components.conversationIdle","Conversation idle","Percakapan tidak aktif","lib/automationMeta.ts"
"web","keyed","web:components","components.coverage","Coverage","Cakupan","lib/segments.ts"
"web","keyed","web:components","components.creativeInsights","Creative Insights","Wawasan Materi Iklan","app/(app)/dashboard/DashboardView.tsx;components/Shell.tsx"
"web","keyed","web:components","settings.custom_fields","Custom Fields","","components/Shell.tsx"
"web","keyed","web:components","nav.dashboard","Dashboard","Dashboard","app/(app)/settings/roles/page.tsx;components/CommandPalette.tsx"
"web","keyed","web:components","components.dates","Dates","Tanggal","lib/segments.ts"
"web","keyed","web:components","components.dec","Dec","Des","app/(app)/dashboard/DashboardView.tsx;app/report/ads/AdsReportView.tsx;lib/utils.ts"
"web","keyed","web:components","components.destination","Destination","Tujuan","lib/segments.ts"
"web","keyed","web:components","components.detachOneOrMoreLabels","Detach one or more labels","Lepas satu atau beberapa label","lib/automationMeta.ts"
"web","keyed","web:components","components.duringConfiguredBusinessHours","During configured business hours","Selama jam kerja yang dikonfigurasi","lib/automationMeta.ts"
"web","keyed","web:components","components.emailANotificationSupportsPlaceholders","Email a notification (supports {placeholders})","Kirim notifikasi email (mendukung {placeholders})","lib/automationMeta.ts"
"web","keyed","web:components","components.english","English","Inggris","app/(app)/settings/campaigns/CampaignWizard.tsx;app/(app)/settings/campaigns/[id]/page.tsx;app/(app)/settings/company-details/page.tsx;app/(app)/settings/templates/library.ts;app/(app)/settings/templates/page.tsx;components/Shell.tsx"
"web","keyed","web:components","components.esc","Esc","Esc","components/KeyboardHelp.tsx"
"web","keyed","web:components","components.eventDate","Event date","Tanggal acara","lib/segments.ts"
"web","keyed","web:components","components.experimentWithSimpulxFeaturesIn","Experiment with Simpulx features in a safe space. Actions here are simulated and won't reach real customers.","Bereksperimen dengan fitur Simpulx di ruang aman. Aksi di sini disimulasikan dan tidak akan sampai ke pelanggan asli.","components/ChannelIcon.tsx"
"web","keyed","web:components","components.facebookMessenger","Facebook Messenger","Facebook Messenger","components/ChannelIcon.tsx"
"web","keyed","web:components","components.feb","Feb","Feb","app/(app)/dashboard/DashboardView.tsx;app/report/ads/AdsReportView.tsx;lib/utils.ts"
"web","keyed","web:components","components.focusSearch","Focus search","Fokus ke pencarian","components/KeyboardHelp.tsx"
"web","keyed","web:components","components.fr","Fr","Jm","components/DateRangeFilter.tsx"
"web","keyed","web:components","settings.general","General","Umum","components/KeyboardHelp.tsx;components/Shell.tsx"
"web","keyed","web:components","components.generalReport","General Report","Laporan Umum","app/(app)/dashboard/DashboardView.tsx;components/Shell.tsx"
"web","keyed","web:components","components.goToBroadcasts","Go to Broadcasts","Ke Broadcast","components/KeyboardHelp.tsx"
"web","keyed","web:components","components.goToContacts","Go to Contacts","Ke Kontak","components/KeyboardHelp.tsx"
"web","keyed","web:components","components.goToDashboard","Go to Dashboard","Ke Dashboard","components/KeyboardHelp.tsx"
"web","keyed","web:components","components.goToInbox","Go to Inbox","Ke Kotak Masuk","components/KeyboardHelp.tsx"
"web","keyed","web:components","components.goToSettings","Go to Settings","Ke Pengaturan","components/KeyboardHelp.tsx"
"web","keyed","web:components","components.handleInstagramDmsAndStory","Handle Instagram DMs and story replies from business accounts linked to your connected Facebook Pages.","Tangani DM Instagram dan balasan story dari akun bisnis yang tertaut ke Facebook Page Anda.","components/ChannelIcon.tsx"
"web","keyed","web:components","nav.inbox","Inbox","","components/CommandPalette.tsx;components/KeyboardHelp.tsx"
"web","keyed","web:components","components.indonesia","Indonesia","Indonesia","app/(app)/settings/company-details/page.tsx;components/Shell.tsx"
"web","keyed","web:components","components.instagram","Instagram","Instagram","components/ChannelIcon.tsx"
"web","keyed","web:components","components.insuranceType","Insurance type","Jenis asuransi","lib/segments.ts"
"web","keyed","web:components","components.intake","Intake","Intake","lib/segments.ts"
"web","keyed","web:components","components.item","Item","Item","app/(app)/settings/campaigns/[id]/page.tsx;lib/segments.ts"
"web","keyed","web:components","components.jan","Jan","Jan","app/(app)/dashboard/DashboardView.tsx;app/report/ads/AdsReportView.tsx;lib/utils.ts"
"web","keyed","web:components","components.jul","Jul","Jul","app/(app)/dashboard/DashboardView.tsx;app/report/ads/AdsReportView.tsx;lib/utils.ts"
"web","keyed","web:components","components.jun","Jun","Jun","app/(app)/dashboard/DashboardView.tsx;app/report/ads/AdsReportView.tsx;lib/utils.ts"
"web","keyed","web:components","components.keyboardShortcuts","Keyboard shortcuts","Pintasan keyboard","components/KeyboardHelp.tsx"
"web","keyed","web:components","components.keywordMatch","Keyword match","Kecocokan kata kunci","lib/automationMeta.ts"
"web","keyed","web:components","common.last30Days","Last 30 days","30 hari terakhir","app/(app)/settings/user-management/page.tsx;components/DateRangeFilter.tsx"
"web","keyed","web:components","common.last7Days","Last 7 days","7 hari terakhir","app/(app)/settings/user-management/page.tsx;components/DateRangeFilter.tsx"
"web","keyed","web:components","components.level","Level","Level","lib/segments.ts"
"web","keyed","web:components","components.loanAmount","Loan amount","Jumlah pinjaman","lib/segments.ts"
"web","keyed","web:components","components.location","Location","Lokasi","app/(app)/settings/campaigns/[id]/page.tsx;lib/segments.ts"
"web","keyed","web:components","components.mar","Mar","Mar","app/(app)/dashboard/DashboardView.tsx;app/report/ads/AdsReportView.tsx;lib/utils.ts"
"web","keyed","web:components","components.markTheConversationPriority","Mark the conversation priority","Tandai prioritas percakapan","lib/automationMeta.ts"
"web","keyed","web:components","components.may","May","Mei","app/(app)/dashboard/DashboardView.tsx;app/report/ads/AdsReportView.tsx;lib/utils.ts"
"web","keyed","web:components","components.messageTemplates","Message Templates","Template Pesan","components/Shell.tsx"
"web","keyed","web:components","components.mo","Mo","Sn","components/DateRangeFilter.tsx"
"web","keyed","web:components","components.moveTheLeadToA","Move the lead to a pipeline stage","Pindahkan prospek ke tahap pipeline","lib/automationMeta.ts"
"web","keyed","web:components","components.navigation","Navigation","Navigasi","components/KeyboardHelp.tsx"
"web","keyed","web:components","components.newConversation","New conversation","Percakapan baru","lib/automationMeta.ts"
"web","keyed","web:components","components.newIncomingMessage","New incoming message","Pesan masuk baru","lib/automationMeta.ts"
"web","keyed","web:components","components.newIncomingMessageFromNew","New incoming message from new contact","Pesan masuk baru dari kontak baru","lib/automationMeta.ts"
"web","keyed","web:components","components.newMessageReceived","New message received","Pesan baru diterima","lib/automationMeta.ts"
"web","keyed","web:components","components.newOutgoingMessage","New outgoing message","Pesan keluar baru","lib/automationMeta.ts"
"web","keyed","web:components","components.newVoiceCall","New voice call","Panggilan suara baru","lib/automationMeta.ts"
"web","keyed","web:components","components.nextConversation","Next conversation","Percakapan berikutnya","components/KeyboardHelp.tsx"
"web","keyed","web:components","common.no","No","Tidak","components/inbox/DetailsPanel.tsx"
"web","keyed","web:components","components.noMessages","No messages","Tidak ada pesan","app/(app)/contacts/[id]/page.tsx;app/(app)/inbox/components/DetailsPanel.tsx;components/inbox/DetailsPanel.tsx"
"web","keyed","web:components","components.noReply","no reply","belum dibalas","components/inbox/ChatHeader.tsx"
"web","keyed","web:components","components.none","None","Tidak ada","app/(app)/inbox/components/DetailsPanel.tsx;components/inbox/DetailsPanel.tsx"
"web","keyed","web:components","components.notifications","Notifications","Notifikasi","components/Shell.tsx"
"web","keyed","web:components","components.nov","Nov","Nov","app/(app)/dashboard/DashboardView.tsx;app/report/ads/AdsReportView.tsx;lib/utils.ts"
"web","keyed","web:components","components.oct","Oct","Okt","app/(app)/dashboard/DashboardView.tsx;app/report/ads/AdsReportView.tsx;lib/utils.ts"
"web","keyed","web:components","components.officeHours","Office hours","Jam kerja","lib/automationMeta.ts"
"web","keyed","web:components","components.onEveryInboundMessage","On every inbound message","Pada setiap pesan masuk","lib/automationMeta.ts"
"web","keyed","web:components","components.openSnoozeOrCloseThe","Open, snooze or close the conversation","Buka, tunda, atau tutup percakapan","lib/automationMeta.ts"
"web","keyed","web:components","components.organization","Organization","Organisasi","app/(app)/settings/organization/page.tsx;components/Shell.tsx"
"web","keyed","web:components","components.outsideConfiguredBusinessHours","Outside configured business hours","Di luar jam kerja yang dikonfigurasi","lib/automationMeta.ts"
"web","keyed","web:components","components.paymentReceivedOnWhatsapp","Payment received on WhatsApp","Pembayaran diterima di WhatsApp","lib/automationMeta.ts"
"web","keyed","web:components","settings.pipeline_stages","Pipeline Stages","","components/Shell.tsx"
"web","keyed","web:components","components.postTheEventToAn","POST the event to an external URL","POST event ke URL eksternal","lib/automationMeta.ts"
"web","keyed","web:components","components.preferredDate","Preferred date","Tanggal yang diinginkan","lib/segments.ts"
"web","keyed","web:components","components.preferredLocation","Preferred location","Lokasi yang diinginkan","lib/segments.ts"
"web","keyed","web:components","components.previousConversation","Previous conversation","Percakapan sebelumnya","components/KeyboardHelp.tsx"
"web","keyed","web:components","components.product","Product","Produk","lib/segments.ts"
"web","keyed","web:components","components.program","Program","Program","lib/segments.ts"
"web","keyed","web:components","components.propertyType","Property type","Tipe properti","lib/segments.ts"
"web","keyed","web:components","components.purpose","Purpose","Tujuan","lib/segments.ts"
"web","keyed","web:components","components.quantity","Quantity","Jumlah","lib/segments.ts"
