platform,status,area,key,english,indonesian
"mobile","new","mobile:chat","chat.searchByTextOrDate","Search by text or date","Cari berdasarkan teks atau tanggal"
"mobile","new","mobile:chat","chat.searchMessages","Search messages","Cari pesan"
"mobile","new","mobile:chat","chat.searchMessages2","Search messages...","Cari pesan..."
"mobile","new","mobile:chat","chat.searchNumber","Search Number","Cari Nomor"
"mobile","new","mobile:chat","chat.search","Search...","Cari..."
"mobile","new","mobile:chat","chat.sendTemplate","Send template","Kirim template"
"mobile","new","mobile:chat","chat.shortcuts","Shortcuts","Pintasan"
"mobile","new","mobile:chat","chat.smartSummary","Smart Summary","Ringkasan Cerdas"
"mobile","new","mobile:chat","chat.snooze","Snooze","Tunda"
"mobile","new","mobile:chat","chat.snoozedUntil","Snoozed until","Ditunda sampai"
"mobile","new","mobile:chat","chat.sort","Sort","Urutkan"
"mobile","new","mobile:chat","chat.spamInvalid","Spam / invalid","Spam / tidak valid"
"mobile","new","mobile:chat","chat.status","Status","Status"
"mobile","new","mobile:chat","chat.summarizing","Summarizing...","Meringkas..."
"mobile","new","mobile:chat","chat.template","Template","Template"
"mobile","new","mobile:chat","chat.thisMessageCanTBe","This message can't be displayed","Pesan ini tidak bisa ditampilkan"
"mobile","new","mobile:chat","chat.tomorrow9am","Tomorrow 9am","Besok jam 9"
"mobile","new","mobile:chat","chat.tradeInIssue","Trade-in issue","Masalah tukar tambah"
"mobile","new","mobile:chat","chat.tryADifferentNameOr","Try a different name or number.","Coba nama atau nomor lain."
"mobile","new","mobile:chat","chat.typeToSearchOrSelect","Type to search or select a date","Ketik untuk mencari atau pilih tanggal"
"mobile","new","mobile:chat","chat.unassign","Unassign","Batalkan penugasan"
"mobile","new","mobile:chat","chat.unreadFirst","Unread First","Belum Dibaca Dulu"
"mobile","new","mobile:chat","chat.unsupportedMessage","Unsupported message","Pesan tidak didukung"
"mobile","new","mobile:chat","chat.video","Video","Video"
"mobile","new","mobile:chat","chat.viewAd","View ad","Lihat iklan"
"mobile","new","mobile:chat","chat.voiceCall","Voice call","Panggilan suara"
"mobile","new","mobile:chat","chat.voiceMessage","Voice message","Pesan suara"
"mobile","new","mobile:chat","chat.whyIsThisLeadLost","Why is this lead lost?","Mengapa prospek ini kalah?"
"mobile","new","mobile:chat","chat.wrongNumber","Wrong number","Salah nomor"
"mobile","new","mobile:chat","chat.wrongProductSpec","Wrong product / spec","Produk / spesifikasi salah"
"mobile","new","mobile:chat","chat.youReacted","You reacted","Anda bereaksi"
"mobile","new","mobile:chat","chat.youRemoved","You removed","Anda menghapus"
"mobile","new","mobile:contacts","contacts.addALeadWithThe","Add a lead with the + button.","Tambah prospek dengan tombol +."
"mobile","new","mobile:contacts","contacts.addContact","Add Contact","Tambah Kontak"
"mobile","new","mobile:contacts","contacts.assignment2","Assignment","Penugasan"
"mobile","new","mobile:contacts","contacts.blacklisted2","Blacklisted","Daftar hitam"
"mobile","new","mobile:contacts","contacts.buyPotential","Buy potential","Potensi beli"
"mobile","new","mobile:contacts","contacts.chat","CHAT","CHAT"
"mobile","new","mobile:contacts","contacts.contact","Contact","Kontak"
"mobile","new","mobile:contacts","contacts.contactDetails2","Contact Details","Detail Kontak"
"mobile","new","mobile:contacts","contacts.conversationClosed2","Conversation closed","Percakapan ditutup"
"mobile","new","mobile:contacts","contacts.conversationReopened","Conversation reopened","Percakapan dibuka kembali"
"mobile","new","mobile:contacts","contacts.couldNotLoadHistory","Could not load history","Gagal memuat riwayat"
"mobile","new","mobile:contacts","contacts.couldNotSaveTryAgain","Could not save. Try again.","Gagal menyimpan. Coba lagi."
"mobile","new","mobile:contacts","contacts.createContact","Create contact","Buat kontak"
"mobile","new","mobile:contacts","contacts.editContact2","Edit contact","Edit kontak"
"mobile","new","mobile:contacts","contacts.enterANameOrPhone","Enter a name or phone","Masukkan nama atau telepon"
"mobile","new","mobile:contacts","contacts.failedToLoadHistory","Failed to load history","Gagal memuat riwayat"
"mobile","new","mobile:contacts","contacts.filters","Filters","Filter"
"mobile","new","mobile:contacts","contacts.googleAds","Google Ads","Google Ads"
"mobile","new","mobile:contacts","contacts.handedOffToAHuman","Handed off to a human agent","Dialihkan ke agen manusia"
"mobile","new","mobile:contacts","contacts.history","History","Riwayat"
"mobile","new","mobile:contacts","contacts.metaAds","Meta Ads","Meta Ads"
"mobile","new","mobile:contacts","contacts.newContact","New contact","Kontak baru"
"mobile","new","mobile:contacts","contacts.noChangesYet","No changes yet.","Belum ada perubahan."
"mobile","new","mobile:contacts","contacts.noContacts","No contacts","Tidak ada kontak"
"mobile","new","mobile:contacts","contacts.noHistoryYet","No history yet","Belum ada riwayat"
"mobile","new","mobile:contacts","contacts.notes","Notes","Catatan"
"mobile","new","mobile:contacts","contacts.overview","Overview","Ikhtisar"
"mobile","new","mobile:contacts","contacts.score","Score","Skor"
"mobile","new","mobile:contacts","contacts.seeMore","See More →","Lihat Selengkapnya →"
"mobile","new","mobile:contacts","contacts.showLess","Show less","Tampilkan lebih sedikit"
"mobile","new","mobile:contacts","contacts.tiktokAds","TikTok Ads","TikTok Ads"
"mobile","new","mobile:contacts","contacts.tryADifferentSearchOr","Try a different search or filter.","Coba pencarian atau filter lain."
"mobile","new","mobile:dashboard","dashboard.apr","Apr","Apr"
"mobile","new","mobile:dashboard","dashboard.aug","Aug","Agu"
"mobile","new","mobile:dashboard","dashboard.avgResponse","Avg response","Rata-rata respons"
"mobile","new","mobile:dashboard","dashboard.avgRt","Avg RT","Rata-rata RT"
"mobile","new","mobile:dashboard","dashboard.couldNotLoadAnalyticsTap","Could not load analytics. Tap to retry.","Gagal memuat analitik. Ketuk untuk coba lagi."
"mobile","new","mobile:dashboard","dashboard.dec","Dec","Des"
"mobile","new","mobile:dashboard","dashboard.feb","Feb","Feb"
"mobile","new","mobile:dashboard","dashboard.friday","Friday","Jumat"
"mobile","new","mobile:dashboard","dashboard.interestSplit2","Interest Split","Pembagian Minat"
"mobile","new","mobile:dashboard","dashboard.jan","Jan","Jan"
"mobile","new","mobile:dashboard","dashboard.jul","Jul","Jul"
"mobile","new","mobile:dashboard","dashboard.jun","Jun","Jun"
"mobile","new","mobile:dashboard","dashboard.lostAnalysis","Lost Analysis","Analisis Kehilangan"
"mobile","new","mobile:dashboard","dashboard.lostReasons","Lost Reasons","Alasan Kalah"
"mobile","new","mobile:dashboard","dashboard.mar","Mar","Mar"
"mobile","new","mobile:dashboard","dashboard.may","May","Mei"
"mobile","new","mobile:dashboard","dashboard.monday","Monday","Senin"
"mobile","new","mobile:dashboard","dashboard.myPerformance","My Performance","Performa Saya"
"mobile","new","mobile:dashboard","dashboard.nov","Nov","Nov"
"mobile","new","mobile:dashboard","dashboard.oct","Oct","Okt"
"mobile","new","mobile:dashboard","dashboard.saturday","Saturday","Sabtu"
"mobile","new","mobile:dashboard","dashboard.sep","Sep","Sep"
"mobile","new","mobile:dashboard","dashboard.stageBreakdown","Stage Breakdown","Rincian Tahap"
"mobile","new","mobile:dashboard","dashboard.sunday","Sunday","Minggu"
"mobile","new","mobile:dashboard","dashboard.teamPerformance","Team Performance","Performa Tim"
"mobile","new","mobile:dashboard","dashboard.thursday","Thursday","Kamis"
"mobile","new","mobile:dashboard","dashboard.tuesday","Tuesday","Selasa"
"mobile","new","mobile:dashboard","dashboard.wednesday","Wednesday","Rabu"
"mobile","new","mobile:dashboard","dashboard.welcomeBack","Welcome back","Selamat datang kembali"
"mobile","new","mobile:dashboard","dashboard.within5Min","Within 5 min","Dalam 5 menit"
"mobile","new","mobile:dashboard","dashboard.won","Won","Menang"
"mobile","new","mobile:lib","lib.archive","Archive","Arsipkan"
"mobile","new","mobile:lib","lib.belumAdaApaApaDi","Belum ada apa-apa di sini","Belum ada apa-apa di sini"
"mobile","new","mobile:lib","lib.cobaLagi","Coba lagi","Coba lagi"
"mobile","new","mobile:lib","lib.followUpReminders","Follow-up reminders","Pengingat tindak lanjut"
"mobile","new","mobile:lib","lib.hariIni","Hari ini","Hari ini"
"mobile","new","mobile:lib","lib.highIntentRespondWithin5","High-intent. Respond within 5 min.","Minat tinggi. Balas dalam 5 menit."
"mobile","new","mobile:lib","lib.incomingCall","Incoming Call","Panggilan Masuk"
"mobile","new","mobile:lib","lib.incomingCalls","Incoming calls","Panggilan masuk"
"mobile","new","mobile:lib","lib.incomingMessages","Incoming messages","Pesan masuk"
"mobile","new","mobile:lib","lib.kataSandi","Kata sandi","Kata sandi"
"mobile","new","mobile:lib","lib.lupaKataSandi","Lupa kata sandi?","Lupa kata sandi?"
"mobile","new","mobile:lib","lib.masukUntukMelanjutkan","Masuk untuk melanjutkan","Masuk untuk melanjutkan"
"mobile","new","mobile:lib","lib.message","Message...","Pesan..."
"mobile","new","mobile:lib","lib.missedCall","Missed call","Panggilan tak terjawab"
"mobile","new","mobile:lib","lib.mute","Mute","Bisukan"
"mobile","new","mobile:lib","lib.newLeads","New leads","Prospek baru"
"mobile","new","mobile:lib","lib.noInternetConnection","No internet connection","Tidak ada koneksi internet"
"mobile","new","mobile:lib","lib.notFound","Not found","Tidak ditemukan"
"mobile","new","mobile:lib","lib.nothingHereYet","Nothing here yet","Belum ada apa-apa di sini"
"mobile","new","mobile:lib","lib.onlineStatus","Online status","Status online"
"mobile","new","mobile:lib","lib.performanceAlerts","Performance alerts","Peringatan performa"
"mobile","new","mobile:lib","lib.pin","Pin","Sematkan"
"mobile","new","mobile:lib","lib.requestFailed","Request failed","Permintaan gagal"
"mobile","new","mobile:lib","lib.requestTimedOut","Request timed out","Permintaan kehabisan waktu"
"mobile","new","mobile:lib","lib.retry","Retry","Coba lagi"
"mobile","new","mobile:lib","lib.sesiAndaTelahBerakhirSilakan","Sesi Anda telah berakhir. Silakan masuk lagi.","Sesi Anda telah berakhir. Silakan masuk lagi."
"mobile","new","mobile:lib","lib.settingUpCall","Setting up call...","Menyiapkan panggilan..."
"mobile","new","mobile:lib","lib.signInToContinue","Sign in to continue","Masuk untuk melanjutkan"
"mobile","new","mobile:lib","lib.somethingWentWrong","Something went wrong","Terjadi kesalahan"
"mobile","new","mobile:lib","lib.statusOnline","Status online","Status online"
"mobile","new","mobile:lib","lib.terjadiKesalahan","Terjadi kesalahan","Terjadi kesalahan"
"mobile","new","mobile:lib","lib.thatWasUsed","that was used.",""
"mobile","new","mobile:lib","lib.tidakAdaKoneksiInternet","Tidak ada koneksi internet","Tidak ada koneksi internet"
"mobile","new","mobile:lib","lib.typeAMessage","Type a message...","Ketik pesan..."
"mobile","new","mobile:lib","lib.unexpectedError","Unexpected error","Kesalahan tak terduga"
"mobile","new","mobile:lib","lib.yourSessionHasExpired","Your session has expired","Sesi Anda telah berakhir"
"mobile","new","mobile:lib","lib.yourSessionHasExpiredPlease","Your session has expired. Please sign in again.","Sesi Anda telah berakhir. Silakan masuk lagi."
"mobile","new","mobile:settings","settings.assignments","Assignments","Penugasan"
"mobile","new","mobile:settings","settings.changePassword2","Change password","Ubah kata sandi"
"mobile","new","mobile:settings","settings.confirmNewPassword2","Confirm new password","Konfirmasi kata sandi baru"
"mobile","new","mobile:settings","settings.currentPassword2","Current password","Kata sandi saat ini"
"mobile","new","mobile:settings","settings.dark","Dark","Gelap"
"mobile","new","mobile:settings","settings.english2","English","Inggris"
"mobile","new","mobile:settings","settings.fillInBothPasswordFields","Fill in both password fields","Isi kedua kolom kata sandi"
"mobile","new","mobile:settings","settings.followDeviceLanguage","Follow device language","Ikuti bahasa perangkat"
"mobile","new","mobile:settings","settings.followDeviceTheme","Follow device theme","Ikuti tema perangkat"
"mobile","new","mobile:settings","settings.indonesia2","Indonesia","Indonesia"
"mobile","new","mobile:settings","settings.light","Light","Terang"
"mobile","new","mobile:settings","settings.messageAlerts","Message & Alerts","Pesan & Peringatan"
"mobile","new","mobile:settings","settings.newPasswordMustBeAt2","New password must be at least 8 characters","Kata sandi baru minimal 8 karakter"
"mobile","new","mobile:settings","settings.newPasswordsDoNotMatch2","New passwords do not match","Kata sandi baru tidak cocok"
"mobile","new","mobile:settings","settings.notifications2","Notifications","Notifikasi"
"mobile","new","mobile:settings","settings.systemDefault","System Default","Default Sistem"
"mobile","new","mobile:settings","settings.theme","Theme","Tema"
"mobile","new","mobile:settings","settings.v100","v1.0.0",""
"mobile","new","mobile:workspace","workspace.broadcastQueued","Broadcast queued","Broadcast masuk antrean"
"mobile","new","mobile:workspace","workspace.couldNotSendBroadcast","Could not send broadcast","Gagal mengirim broadcast"
"mobile","new","mobile:workspace","workspace.createCampaignsOnTheWeb","Create campaigns on the web; monitor and send here.","Buat kampanye di web; pantau dan kirim di sini."
"mobile","new","mobile:workspace","workspace.noBroadcasts","No broadcasts","Tidak ada broadcast"
"mobile","new","mobile:workspace","workspace.noTeamMembers","No team members","Tidak ada anggota tim"
"mobile","new","mobile:workspace","workspace.rolesAndAuditLogsAre","roles, and audit logs are managed on the web dashboard.",""
"mobile","new","mobile:workspace","workspace.send","Send","Kirim"
"mobile","new","mobile:workspace","workspace.sendNow","Send now","Kirim sekarang"
"mobile","new","mobile:workspace","workspace.team","Team","Tim"
"mobile","new","mobile:workspace","workspace.templatesChannelsCampaignsAdAccounts","Templates, channels, campaigns, ad accounts,",""
"mobile","new","mobile:workspace","workspace.whoIsOnlineAndTheir","Who is online and their load","Siapa yang online dan bebannya"
"web","keyed","web:[keyed] account","account.title","Account","Akun"
"web","keyed","web:[keyed] account","account.notif_new_conversations_desc","Alert when a fresh conversation enters the inbox.","Beri tahu saat percakapan baru masuk ke kotak masuk."
"web","keyed","web:[keyed] account","account.back","Back","Kembali"
"web","keyed","web:[keyed] account","account.email","Email address","Alamat email"
"web","keyed","web:[keyed] account","account.notif_email_digest","Email digest","Ringkasan email"
"web","keyed","web:[keyed] account","account.name_placeholder","Enter your name","Masukkan nama Anda"
"web","keyed","web:[keyed] account","account.name","Full name","Nama lengkap"
"web","keyed","web:[keyed] account","account.name_required","Name is required","Nama wajib diisi"
"web","keyed","web:[keyed] account","account.notif_new_conversations","New conversation alerts","Peringatan percakapan baru"
"web","keyed","web:[keyed] account","account.notif_new_messages","New message notifications","Notifikasi pesan baru"
"web","keyed","web:[keyed] account","account.tab_notifications","Notification Preference","Preferensi Notifikasi"
"web","keyed","web:[keyed] account","account.notif_new_messages_desc","Notify when a customer sends a new message.","Beri tahu saat pelanggan mengirim pesan baru."
"web","keyed","web:[keyed] account","account.notif_sound_desc","Play a sound alert on new activity.","Putar suara saat ada aktivitas baru."
"web","keyed","web:[keyed] account","account.tab_profile","Profile","Profil"
"web","keyed","web:[keyed] account","account.updated","Profile updated","Profil diperbarui"
"web","keyed","web:[keyed] account","account.role","Role","Peran"
"web","keyed","web:[keyed] account","account.save","Save changes","Simpan perubahan"
"web","keyed","web:[keyed] account","account.saving","Saving…","Menyimpan…"
"web","keyed","web:[keyed] account","account.notif_email_digest_desc","Send a daily summary email for the workspace.","Kirim email ringkasan harian untuk workspace."
"web","keyed","web:[keyed] account","account.notif_sound","Sound notifications","Notifikasi suara"
"web","keyed","web:[keyed] account","account.system_pref","System preference","Preferensi sistem"
"web","keyed","web:[keyed] account","account.your_timezone_desc","Used to display times across the dashboard and in reports.","Digunakan untuk menampilkan waktu di dasbor dan laporan."
"web","keyed","web:[keyed] account","account.your_timezone","Your time zone","Zona waktu Anda"
"web","keyed","web:[keyed] common","common.actions","Actions","Aksi"
"web","keyed","web:[keyed] common","common.allAgents","All agents","Semua agen"
"web","keyed","web:[keyed] common","common.allCampaigns","All campaigns","Semua kampanye"
"web","keyed","web:[keyed] common","common.allChannels","All channels","Semua saluran"
"web","keyed","web:[keyed] common","common.allTime","All time","Semua waktu"
"web","keyed","web:[keyed] common","common.cancel","Cancel","Batal"
"web","keyed","web:[keyed] common","common.clear","Clear","Hapus filter"
"web","keyed","web:[keyed] common","common.confirm","Confirm","Konfirmasi"
"web","keyed","web:[keyed] common","common.copied","Copied!","Tersalin!"
"web","keyed","web:[keyed] common","common.customRange","Custom range","Rentang khusus"
"web","keyed","web:[keyed] common","common.edit","Edit","Edit"
"web","keyed","web:[keyed] common","common.hidePassword","Hide password","Sembunyikan kata sandi"
"web","keyed","web:[keyed] common","common.last30Days","Last 30 days","30 hari terakhir"
"web","keyed","web:[keyed] common","common.last7Days","Last 7 days","7 hari terakhir"
"web","keyed","web:[keyed] common","common.last90Days","Last 90 days","90 hari terakhir"
"web","keyed","web:[keyed] common","common.lastMonth","Last month","Bulan lalu"
"web","keyed","web:[keyed] common","common.loading","Loading…","Memuat…"
"web","keyed","web:[keyed] common","common.no","No","Tidak"
"web","keyed","web:[keyed] common","common.no_results","No results found","Tidak ada hasil"
"web","keyed","web:[keyed] common","common.save","Save","Simpan"
"web","keyed","web:[keyed] common","common.search","Search…","Cari…"
"web","keyed","web:[keyed] common","common.showPassword","Show password","Tampilkan kata sandi"
"web","keyed","web:[keyed] common","common.thisMonth","This month","Bulan ini"
"web","keyed","web:[keyed] common","common.today","Today","Hari ini"
"web","keyed","web:[keyed] common","common.unassigned","Unassigned","Belum ditugaskan"
"web","keyed","web:[keyed] common","common.yes","Yes","Ya"
"web","keyed","web:[keyed] contacts","contacts.addContact","Add contact","Tambah kontak"
